-5.765,-1.8872,-0.098991
-4.0029,-1.6946,-0.1337
-1.7733,-5.1446,-0.11836
-5.7664,-3.0417,-0.078391
-3.6553,-2.1273,-0.12988
-1.5429,0.47097,-0.35205
-3.109,-1.8307,-0.15406
-6.0899,-1.5878,-0.10191
-2.2295,-2.5841,-0.15977
-4.9972,-8.2835,-0.025879
-4.4913,-4.5201,-0.072731
-4.7516,1.8619,-0.27541
-2.7706,-3.297,-0.12396
-2.4065,0.15042,-0.27603
-6.4486,0.67654,-0.16612
-5.8415,-1.6175,-0.10402
-3.674,-1.3299,-0.15396
-5.8226,1.6798,-0.22793
0.81419,-1.9868,-0.36563
-1.0576,-1.9328,-0.238
-3.3339,-3.7682,-0.10147
-4.8905,-3.8502,-0.076037
-2.9615,-4.7573,-0.094518
-0.8435,-3.5576,-0.18724
-2.4997,0.37836,-0.28533
-1.8277,-4.3187,-0.13054
-3.1435,-0.30994,-0.21509
-2.0515,-4.6853,-0.11746
-4.033,-4.6004,-0.077917
-8.2069,-3.0799,-0.061176
-3.0125,-0.183,-0.22715
-6.3305,-5.3124,-0.046301
2.8403,-7.9065,-0.29506
-1.334,-3.9564,-0.15557
-2.2544,-3.3769,-0.13728
-3.7876,-5.5969,-0.071343
-0.30352,-4.0233,-0.1995
-2.7952,-4.4275,-0.10267
0.14279,-1.4195,-0.34651
-3.4742,-2.5053,-0.12445
-3.7199,-0.72191,-0.17542
-1.6891,-4.7643,-0.12685
-1.0767,-2.9023,-0.19769
-3.6626,-5.7078,-0.072194
-0.67418,-3.5916,-0.19425
-2.9505,-3.1766,-0.12184
-3.4668,-4.1466,-0.092972
-3.8543,-1.421,-0.14591
-1.2513,-1.4125,-0.25235
-0.68545,-2.2054,-0.24672
-0.83264,-1.4261,-0.27685
-3.0797,-2.0683,-0.1474
-3.5044,-2.819,-0.11631
-0.8027,-1.7366,-0.26236
-3.7444,-2.4998,-0.11829
-4.4247,-0.42996,-0.16634
-4.9838,-0.76541,-0.14097
-0.57903,-4.1725,-0.18197
-0.56058,-4.5548,-0.17319
-3.019,-3.4953,-0.11347
-3.5847,-3.9219,-0.094121
-1.801,-5.3148,-0.11518
-4.1916,-5.0855,-0.070608
-3.7416,0.88263,-0.25546
-3.261,-0.33164,-0.20926
-3.9011,-1.9528,-0.12875
-4.4101,-5.1078,-0.067622
-0.28003,-2.3942,-0.26263
0.14049,-4.9577,-0.19666
-7.304,-3.1492,-0.065819
-2.2018,-0.45295,-0.2515
-3.7066,-4.9948,-0.078447
-6.3265,-2.1699,-0.08796
-3.4456,-1.7421,-0.14683
-5.0677,-2.5326,-0.094578
-2.8819,-5.2364,-0.090384
-2.6701,-2.4918,-0.14748
-2.0096,-1.7941,-0.19667
0.75403,-1.4014,-0.3994
-5.4333,-4.5051,-0.062914
-2.4078,-4.216,-0.11559
1.3966,-3.7322,-0.31901
0.77945,-0.13758,-0.50434
-3.4132,-3.4651,-0.10515
-4.7595,0.99331,-0.22273
0.28893,-1.1207,-0.37849
-3.0991,-4.0269,-0.10216
-3.5275,-4.1466,-0.091856
-3.4948,-1.633,-0.14893
-4.3986,0.061828,-0.18791
-2.9767,-6.0196,-0.080815
-5.4136,-1.2924,-0.11772
-5.175,-5.5427,-0.05499
-4.4063,-2.8562,-0.098106
-1.4495,-1.4537,-0.23927
-3.8503,-4.7466,-0.078952
-2.9911,-7.6348,-0.067353
-1.8609,-1.3156,-0.22458
-5.9194,-7.0758,-0.029137
-3.819,-1.4136,-0.1471
