39,1,77516,1,13,3,9,4,1,2,2174,0,40,1,0
50,2,83311,1,13,1,5,3,1,2,0,0,13,1,0
38,3,215646,4,9,2,7,4,1,2,0,0,40,1,0
53,3,234721,3,7,1,7,3,5,2,0,0,40,1,0
28,3,338409,1,13,1,6,1,5,1,0,0,40,13,0
37,3,284582,11,14,1,5,1,1,1,0,0,40,1,0
49,3,160187,8,5,6,3,4,5,1,0,0,16,19,0
52,2,209642,4,9,1,5,3,1,2,0,0,45,1,1
31,3,45781,11,14,3,6,4,1,1,14084,0,50,1,1
42,3,159449,1,13,1,5,3,1,2,5178,0,40,1,1
37,3,280464,2,10,1,5,3,5,2,0,0,80,1,1
30,1,141297,1,13,1,6,3,2,2,0,0,40,8,1
23,3,122272,1,13,3,9,2,1,1,0,0,30,1,0
32,3,205019,6,12,3,4,4,5,2,0,0,50,1,0
40,3,121772,7,11,1,2,3,2,2,0,0,40,1,1
34,3,245487,9,4,1,11,3,3,2,0,0,45,21,0
25,2,176756,4,9,3,10,2,1,2,0,0,35,1,0
32,3,186824,4,9,3,8,6,1,2,0,0,40,1,0
38,3,28887,3,7,1,4,3,1,2,0,0,50,1,0
43,2,292175,11,14,2,5,6,1,1,0,0,45,1,1
40,3,193524,14,16,1,6,3,1,2,0,0,60,1,1
54,3,302146,4,9,4,3,6,5,1,0,0,20,1,0
35,4,76845,8,5,1,10,3,5,2,0,0,40,1,0
43,3,117037,3,7,1,11,3,1,2,0,2042,40,1,0
59,3,109015,4,9,2,1,6,1,1,0,0,40,1,0
56,5,216851,1,13,1,1,3,1,2,0,0,40,1,1
19,3,168294,4,9,3,2,2,1,2,0,0,40,1,0
54,3,180211,2,10,1,5,3,2,2,0,0,60,11,1
39,3,367260,4,9,2,5,4,1,2,0,0,80,1,0
49,3,193366,4,9,1,2,3,1,2,0,0,40,1,0
23,5,190709,6,12,3,13,4,1,2,0,0,52,1,0
20,3,266015,2,10,3,4,2,5,2,0,0,44,1,0
45,3,386940,1,13,2,5,2,1,2,0,1408,40,1,0
30,4,59951,2,10,1,9,2,1,2,0,0,40,1,0
22,1,311512,2,10,1,3,3,5,2,0,0,15,1,0
48,3,242406,3,7,3,8,6,1,2,0,0,40,4,0
21,3,197200,2,10,3,8,2,1,2,0,0,40,1,0
19,3,544091,4,9,7,9,1,1,1,0,0,25,1,0
31,3,84154,2,10,1,4,3,1,2,0,0,38,1,1
48,2,265477,6,12,1,6,3,1,2,0,0,40,1,0
31,3,507875,8,5,1,8,3,1,2,0,0,43,1,0
53,2,88506,1,13,1,6,3,1,2,0,0,40,1,0
24,3,172987,1,13,1,1,3,1,2,0,0,50,1,0
49,3,94638,4,9,4,9,6,1,1,0,0,40,1,0
25,3,289980,4,9,3,7,4,1,2,0,0,35,1,0
57,4,337895,1,13,1,6,3,5,2,0,0,40,1,1
53,3,144361,4,9,1,8,3,1,2,0,0,38,1,0
44,3,128354,11,14,2,5,6,1,1,0,0,40,1,0
